batch,n_tokens,loss_L0_age_bin,train_acc_L0_age_bin,loss_L0_gender,train_acc_L0_gender,loss_L0_star_sign,train_acc_L0_star_sign,loss_L6_age_bin,train_acc_L6_age_bin,loss_L6_gender,train_acc_L6_gender,loss_L6_star_sign,train_acc_L6_star_sign,loss_L12_age_bin,train_acc_L12_age_bin,loss_L12_gender,train_acc_L12_gender,loss_L12_star_sign,train_acc_L12_star_sign,loss_L18_age_bin,train_acc_L18_age_bin,loss_L18_gender,train_acc_L18_gender,loss_L18_star_sign,train_acc_L18_star_sign,loss_L24_age_bin,train_acc_L24_age_bin,loss_L24_gender,train_acc_L24_gender,loss_L24_star_sign,train_acc_L24_star_sign
349,2400,1.18013,0.35747,0.72911,0.51335,2.7626,0.08713,1.07979,0.4099,0.66402,0.55026,2.78025,0.08403,1.08063,0.40015,0.65175,0.54168,2.81431,0.08501,0.99664,0.44155,0.64382,0.56205,2.77207,0.08824,1.05702,0.45577,0.67919,0.58435,2.71122,0.09281
350,2400,1.17194,0.35754,0.74015,0.51332,2.77826,0.08714,1.01682,0.4101,0.67004,0.55042,2.79308,0.08404,1.08848,0.40018,0.67203,0.54183,2.83079,0.08502,0.96341,0.44174,0.70045,0.56213,2.8041,0.08824,1.03873,0.45584,0.68968,0.5844,2.8257,0.09283
351,2400,1.12437,0.35769,0.73616,0.51335,2.76387,0.08711,1.07424,0.41021,0.72246,0.55046,2.79712,0.08404,1.02423,0.40037,0.70747,0.54192,2.81229,0.08504,1.02238,0.44187,0.71449,0.56217,2.86622,0.08825,0.97229,0.45603,0.74177,0.58428,2.85079,0.09282
352,2400,1.18052,0.35769,0.7249,0.51339,2.771,0.08712,1.01336,0.4104,0.73323,0.5504,2.80044,0.08403,1.01408,0.40054,0.7438,0.54184,2.77438,0.08502,0.95396,0.4421,0.73861,0.56206,2.81646,0.08827,0.98123,0.45619,0.7479,0.58416,2.82127,0.09284
353,2400,1.11219,0.3578,0.72574,0.51339,2.74903,0.08715,1.00421,0.41064,0.67105,0.55056,2.82846,0.08403,1.03415,0.40069,0.66844,0.54203,2.81005,0.08504,0.95949,0.44232,0.66736,0.56222,2.78863,0.0883,0.96168,0.45638,0.67082,0.58431,2.78368,0.09285
354,2400,1.19299,0.35772,0.7436,0.5134,2.79337,0.08716,1.09345,0.41075,0.73718,0.55051,2.81056,0.08406,1.1009,0.40076,0.72125,0.54203,2.82252,0.08504,1.01129,0.44246,0.70824,0.56227,2.78818,0.08832,1.03388,0.4565,0.69133,0.58439,2.94572,0.09283
355,2400,1.15454,0.35774,0.72708,0.51347,2.81851,0.08718,1.0121,0.41093,0.70609,0.55056,2.77351,0.08407,1.06791,0.40084,0.68408,0.54214,2.7378,0.08506,0.91511,0.44274,0.70286,0.56232,2.75508,0.08834,0.9197,0.45671,0.70726,0.58437,2.73339,0.09285
356,2400,1.18366,0.35776,0.71499,0.51362,2.77349,0.08718,1.14277,0.41096,0.68057,0.5507,2.83669,0.08409,1.15671,0.40082,0.67875,0.54225,2.78826,0.08507,1.12663,0.44275,0.68826,0.5624,2.79817,0.08834,1.17032,0.4567,0.68445,0.58443,2.73449,0.09287
357,2400,1.1932,0.35774,0.73999,0.51364,2.77206,0.08719,1.07465,0.41106,0.67865,0.55083,2.78814,0.0841,1.12008,0.40085,0.71919,0.54223,2.7964,0.0851,1.07974,0.44282,0.6846,0.56244,2.79785,0.08835,1.02937,0.45677,0.69026,0.58442,2.73316,0.09293
358,2400,1.14519,0.35781,0.74345,0.51358,2.79057,0.08719,1.05906,0.41114,0.72605,0.55085,2.75359,0.08416,1.10587,0.40085,0.70795,0.54229,2.71277,0.08518,1.00391,0.44295,0.72479,0.56241,2.75829,0.08839,0.99793,0.45687,0.70135,0.58446,2.77676,0.09296
