batch,loss_L0_age_bin,loss_L0_gender,loss_L0_star_sign,loss_L4_age_bin,loss_L4_gender,loss_L4_star_sign,loss_L8_age_bin,loss_L8_gender,loss_L8_star_sign,loss_L12_age_bin,loss_L12_gender,loss_L12_star_sign,loss_L16_age_bin,loss_L16_gender,loss_L16_star_sign,loss_L20_age_bin,loss_L20_gender,loss_L20_star_sign,loss_L24_age_bin,loss_L24_gender,loss_L24_star_sign
169,1.07472,0.68498,2.44894,0.8843,0.69116,2.41204,0.87363,0.6156,2.38526,0.84496,0.69626,2.60949,1.08937,0.61263,2.3896,0.82502,0.6182,2.45045,0.95443,0.83108,3.07
170,1.06304,0.68254,2.47521,0.88297,0.66828,2.46166,0.91007,0.58183,2.44701,0.87861,0.66819,2.59665,1.08445,0.57853,2.44483,0.84064,0.58083,2.51095,1.01762,0.69859,2.64045
171,1.06917,0.68516,2.46554,0.87502,0.69242,2.43907,0.89334,0.60363,2.43039,0.86904,0.6905,2.56977,1.05831,0.5903,2.41048,0.76668,0.61574,2.43564,0.98184,0.68426,2.7123
172,1.0926,0.68556,2.45996,0.87753,0.69133,2.4402,0.86739,0.57716,2.41306,0.837,0.69088,2.5557,1.10496,0.54123,2.39018,0.80688,0.57992,2.45667,0.91395,0.65588,2.98697
173,1.09756,0.6895,2.45285,0.99914,0.69545,2.40783,1.01381,0.58074,2.41121,0.95883,0.69199,2.58283,1.09203,0.54734,2.39207,0.88629,0.58953,2.4754,1.25261,0.69174,2.96307
174,1.0664,0.68825,2.47967,0.84257,0.68456,2.43968,0.82466,0.60753,2.41938,0.77872,0.67194,2.6384,1.06383,0.6097,2.44501,0.77235,0.59532,2.49701,0.85151,0.74185,2.92322
175,1.0749,0.68967,2.47614,0.91827,0.689,2.45293,0.87043,0.61989,2.44492,0.86733,0.67951,2.53667,1.07036,0.59499,2.4359,0.81932,0.60791,2.50546,0.97939,0.70672,2.94792
176,1.08513,0.68976,2.47013,0.93009,0.68512,2.46206,0.86614,0.65096,2.47149,0.85412,0.69385,2.63717,1.07167,0.6714,2.48865,0.81233,0.64696,2.51692,0.96814,0.7475,3.02896
177,1.06016,0.69013,2.49555,0.91836,0.67625,2.4714,0.91814,0.62602,2.47852,0.93524,0.6681,2.58469,1.06628,0.60298,2.46246,0.88501,0.60485,2.53819,0.9747,0.7383,2.92881
178,1.09208,0.68263,2.45601,0.87967,0.6824,2.44224,0.82788,0.62706,2.43734,0.8237,0.6795,2.49505,1.09394,0.59823,2.44238,0.76377,0.62039,2.48084,0.93549,0.70384,2.8406
179,1.06887,0.69135,2.4773,0.88071,0.69731,2.44511,0.8378,0.63188,2.45142,0.82228,0.69414,2.61902,1.05626,0.61688,2.42672,0.7678,0.66784,2.44898,0.78997,0.96348,2.90181
180,1.07235,0.68116,2.46349,0.94173,0.68271,2.44709,0.9397,0.60034,2.42881,0.9355,0.69209,2.70806,1.10226,0.55227,2.39655,0.90868,0.52076,2.51101,1.06873,0.72054,3.08652
181,1.07461,0.69158,2.45676,0.88346,0.70969,2.43923,0.87768,0.5982,2.41187,0.86878,0.67934,2.58414,1.08744,0.59431,2.36486,0.83694,0.58132,2.48884,1.00683,0.70408,2.83015
182,1.10093,0.68483,2.4754,0.99085,0.69318,2.4632,0.8823,0.60819,2.44671,0.89518,0.686,2.71756,1.10932,0.60359,2.40842,0.80851,0.59683,2.47825,0.89044,0.72385,2.86515
183,1.05782,0.692,2.49354,0.86427,0.69097,2.45297,0.83889,0.6167,2.44474,0.83976,0.70633,2.67274,1.05568,0.62363,2.42639,0.75423,0.61908,2.50187,0.79974,0.72171,2.83987
184,1.05835,0.6839,2.48796,0.85151,0.67414,2.45925,0.81135,0.61311,2.43713,0.76432,0.68646,2.60823,1.06282,0.58464,2.45809,0.72491,0.56943,2.49406,0.80096,0.76686,2.89539
185,1.10523,0.68568,2.50057,0.85434,0.68921,2.42959,0.81425,0.55879,2.42209,0.81243,0.67521,2.56913,1.10883,0.56198,2.4079,0.75052,0.5655,2.4306,0.90077,0.72321,3.00309
