batch,loss_L0_age_bin,loss_L0_gender,loss_L0_star_sign,loss_L4_age_bin,loss_L4_gender,loss_L4_star_sign,loss_L8_age_bin,loss_L8_gender,loss_L8_star_sign,loss_L12_age_bin,loss_L12_gender,loss_L12_star_sign,loss_L16_age_bin,loss_L16_gender,loss_L16_star_sign,loss_L20_age_bin,loss_L20_gender,loss_L20_star_sign,loss_L24_age_bin,loss_L24_gender,loss_L24_star_sign,loss_L28_age_bin,loss_L28_gender,loss_L28_star_sign
648,0.98539,0.67316,2.44243,0.96333,0.63838,2.20102,5.52481,1.25015,2.24112,0.91608,0.56376,2.24121,0.92451,0.55143,2.26987,0.60321,0.55941,18.45226,0.57255,0.64148,2.46885,0.6453,0.57525,2.38487
649,0.93589,0.64547,2.43394,0.90993,0.6049,2.29033,6.90256,2.52046,2.27294,0.90024,0.53196,2.31672,0.9126,0.50011,2.31963,0.75614,0.54753,20.14334,0.68438,0.54039,2.54164,0.77415,0.50131,2.46029
650,1.01732,0.6498,2.47447,0.97566,0.63709,2.29558,5.97879,1.31608,2.26037,0.88937,0.53071,2.25097,0.91316,0.52943,2.30679,0.57951,0.53029,16.74411,0.5719,0.60482,2.55963,0.6085,0.52229,2.3794
651,0.99064,0.66278,2.45179,0.90323,0.60901,2.30768,2.38312,1.74955,2.29304,0.88493,0.52667,2.27936,0.92273,0.51363,2.29943,0.57331,0.53322,23.15072,0.59472,0.59648,2.51809,0.68613,0.51424,2.30741
652,0.94458,0.66559,2.46876,0.88886,0.64401,2.31448,6.41402,2.10562,2.29055,0.94638,0.58946,2.356,0.9134,0.59383,2.33012,0.63856,0.6092,22.27664,0.6074,0.64739,2.74452,0.64064,0.62208,2.35657
653,0.98688,0.66852,2.45802,0.94995,0.62545,2.15838,3.65992,1.42529,2.13151,0.84242,0.54302,2.1541,0.93412,0.52178,2.20872,0.68685,0.51446,31.47976,0.64212,0.58736,2.62567,0.69186,0.53265,2.33019
654,0.99484,0.61445,2.48137,0.86796,0.60896,2.33902,4.67088,1.59937,2.31706,0.92378,0.53263,2.29411,0.89806,0.51774,2.34113,0.61456,0.56597,32.26304,0.62467,0.54678,2.66927,0.70737,0.54422,2.39016
655,0.95944,0.67571,2.45621,0.91877,0.65976,2.28793,2.37178,1.24584,2.28412,0.81633,0.58629,2.24,0.88441,0.58638,2.26628,0.63622,0.56665,28.52757,0.59553,0.65879,2.45397,0.57614,0.60831,2.31646
656,0.95562,0.67043,2.45853,0.96399,0.6575,2.28698,2.4842,1.39539,2.28672,0.89964,0.49232,2.3161,0.91047,0.51651,2.36099,0.78332,0.48346,29.51152,0.74166,0.63431,2.53986,0.71942,0.53273,2.32156
657,1.02139,0.62776,2.47838,0.9468,0.60117,2.36199,2.7987,3.19614,2.31549,0.95393,0.44806,2.34173,0.92981,0.46757,2.32082,0.74826,0.46263,34.2195,0.71431,0.51976,2.57719,0.76013,0.45273,2.50304
658,1.00453,0.66436,2.47868,0.90714,0.64047,2.38613,3.83866,1.41849,2.3419,0.91458,0.54814,2.3617,0.90295,0.51204,2.3491,0.7724,0.52334,38.71441,0.8543,0.63725,2.61429,0.82368,0.54171,2.54802
659,0.91652,0.65656,2.45916,0.90982,0.61495,2.26231,6.51439,3.32268,2.2545,0.81004,0.50538,2.20835,0.86555,0.4632,2.26776,0.65822,0.50722,33.1496,0.71345,0.53079,2.50399,0.63454,0.49346,2.42109
660,1.01099,0.62153,2.47934,0.9517,0.57818,2.2971,4.55911,1.5738,2.29869,0.9186,0.47374,2.30142,0.99244,0.4521,2.35338,0.71132,0.49184,30.93494,0.77767,0.56189,2.73185,0.712,0.47739,2.31787
661,1.0512,0.65324,2.46953,0.98592,0.61851,2.29353,5.49054,4.4163,2.28297,0.94524,0.49444,2.25804,0.95191,0.47953,2.27692,0.693,0.51733,26.35732,0.66534,0.57914,2.63334,0.70068,0.53255,2.43204
662,0.95642,0.65264,2.43507,0.89131,0.61945,2.30718,9.85791,2.79228,2.23622,0.84639,0.48393,2.18933,0.8648,0.48257,2.23199,0.64879,0.48415,23.52273,0.65224,0.59468,2.54892,0.66305,0.55061,2.34625
663,0.9767,0.62294,2.48935,0.9104,0.57606,2.26279,7.552,5.19242,2.28387,0.80008,0.49908,2.31316,0.90467,0.46221,2.27462,0.58228,0.47638,30.75187,0.62954,0.61666,2.53664,0.66182,0.52655,2.49957
664,1.00063,0.66528,2.44198,0.99127,0.6304,2.17147,3.83132,6.18104,2.18832,0.91606,0.48209,2.17603,0.90803,0.50894,2.20356,0.60543,0.50083,28.60022,0.62715,0.61584,2.47803,0.66036,0.51854,2.30574
665,1.04179,0.67238,2.45484,0.92318,0.63524,2.23659,3.76316,1.70631,2.25086,0.92946,0.4966,2.26846,0.90497,0.46605,2.29947,0.66278,0.51777,36.06455,0.72988,0.53794,2.56106,0.70393,0.57249,2.36414
666,0.95781,0.68222,2.44074,0.90307,0.62999,2.28576,7.45571,9.8284,2.30144,0.89679,0.52001,2.38459,0.88059,0.53725,2.31897,0.67013,0.52248,42.42801,0.58674,0.58577,2.56061,0.68081,0.52272,2.22857
667,1.00187,0.65182,2.50306,0.93972,0.61813,2.3175,4.50758,12.05376,2.31901,0.91302,0.51049,2.30165,0.93672,0.53419,2.31782,0.55153,0.50646,34.87368,0.5752,0.55394,2.47296,0.62616,0.56199,2.42517
668,1.03259,0.68984,2.47449,0.9254,0.64586,2.28762,4.33785,5.79829,2.27231,0.90118,0.5785,2.2638,0.9574,0.58239,2.34004,0.65874,0.62928,30.18078,0.72328,0.68803,2.65182,0.70737,0.67203,2.59285
669,0.98184,0.66516,2.45626,0.92162,0.60956,2.24657,2.3416,7.34631,2.21488,0.90854,0.45225,2.21103,0.91738,0.49212,2.24787,0.69539,0.45913,34.7421,0.76002,0.59486,2.58608,0.73767,0.46883,2.50916
670,0.99735,0.66713,2.46454,0.93493,0.63945,2.2885,3.42449,12.02276,2.31404,0.87977,0.47564,2.23108,0.9276,0.46641,2.24924,0.68237,0.47779,14.04004,0.70718,0.57851,2.54873,0.75923,0.44285,2.5083
671,0.95974,0.68758,2.4769,0.89306,0.652,2.26026,5.19923,7.24387,2.29747,0.84899,0.50082,2.32318,0.90609,0.48931,2.31574,0.61201,0.49418,20.84328,0.61138,0.55554,2.51703,0.65396,0.51481,2.51078
672,1.00491,0.6996,2.49004,0.88934,0.67267,2.26436,1.93675,3.87514,2.27979,0.90505,0.52579,2.26741,0.94881,0.49628,2.33148,0.75837,0.5351,20.94742,0.78308,0.57223,2.7494,0.75099,0.52277,2.38503
673,0.99616,0.66867,2.43308,0.96744,0.61873,2.24222,5.39609,5.86023,2.25473,0.93436,0.538,2.27027,0.89086,0.50483,2.30239,0.70459,0.54741,21.94289,0.74439,0.63469,2.61505,0.70941,0.61348,2.46219
674,1.04602,0.67631,2.45562,0.98234,0.60734,2.32076,3.13384,1.21226,2.30013,0.91788,0.49807,2.27533,0.90486,0.50905,2.30045,0.6681,0.48042,17.78539,0.74065,0.58302,2.61657,0.65638,0.53346,2.53852
675,0.95358,0.65391,2.46468,0.91411,0.62879,2.32113,4.03595,6.18335,2.26723,0.92892,0.5901,2.30669,0.95027,0.54991,2.32079,0.72088,0.57105,20.40819,0.7371,0.60597,2.65508,0.7526,0.55626,2.41841
676,1.01482,0.66586,2.46617,0.9327,0.62652,2.33093,6.71358,6.68604,2.35661,0.86458,0.56758,2.42813,0.87112,0.55296,2.32366,0.58876,0.60528,28.6853,0.62893,0.6443,2.63325,0.65491,0.58411,2.46194
677,1.01601,0.64665,2.48786,0.90553,0.58506,2.34543,5.32698,1.71701,2.26624,0.97225,0.46235,2.34264,0.96085,0.44623,2.30667,0.64099,0.50393,31.6732,0.74595,0.542,2.60694,0.75683,0.49639,2.49552
678,1.03332,0.66499,2.45741,0.96897,0.65411,2.24659,2.39153,9.42653,2.30217,0.92514,0.55895,2.3106,0.90922,0.57422,2.30824,0.80996,0.60179,20.43665,0.83084,0.70521,2.66901,0.75292,0.59177,2.39914
679,0.97507,0.67097,2.4513,0.91594,0.65807,2.21113,7.29392,12.24275,2.19609,0.86608,0.57015,2.23175,0.93289,11.66163,2.2597,0.63686,0.59997,24.27302,0.55146,0.62556,2.53965,0.55046,0.6062,2.35554
680,1.0081,0.66215,2.45939,0.93026,0.6506,2.27354,4.10682,7.71132,2.2817,0.91567,0.57877,2.24766,0.91079,0.57441,2.26592,0.65671,0.59917,22.63401,0.67461,0.68388,2.70177,0.69015,0.60982,2.52997
