batch,loss_L0_age_bin,acc_L0_age_bin,loss_L0_gender,acc_L0_gender,loss_L0_star_sign,acc_L0_star_sign,loss_L4_age_bin,acc_L4_age_bin,loss_L4_gender,acc_L4_gender,loss_L4_star_sign,acc_L4_star_sign,loss_L8_age_bin,acc_L8_age_bin,loss_L8_gender,acc_L8_gender,loss_L8_star_sign,acc_L8_star_sign,loss_L12_age_bin,acc_L12_age_bin,loss_L12_gender,acc_L12_gender,loss_L12_star_sign,acc_L12_star_sign,loss_L16_age_bin,acc_L16_age_bin,loss_L16_gender,acc_L16_gender,loss_L16_star_sign,acc_L16_star_sign,loss_L20_age_bin,acc_L20_age_bin,loss_L20_gender,acc_L20_gender,loss_L20_star_sign,acc_L20_star_sign,loss_L24_age_bin,acc_L24_age_bin,loss_L24_gender,acc_L24_gender,loss_L24_star_sign,acc_L24_star_sign,loss_L28_age_bin,acc_L28_age_bin,loss_L28_gender,acc_L28_gender,loss_L28_star_sign,acc_L28_star_sign,loss_L32_age_bin,acc_L32_age_bin,loss_L32_gender,acc_L32_gender,loss_L32_star_sign,acc_L32_star_sign,loss_L36_age_bin,acc_L36_age_bin,loss_L36_gender,acc_L36_gender,loss_L36_star_sign,acc_L36_star_sign
1130,1.13144,0.38197,0.70606,0.52223,2.62352,0.09161,1.00023,0.45245,0.69338,0.57998,2.60358,0.08923,0.99312,0.4609,0.68837,0.58554,2.61243,0.09004,0.9143,0.50093,0.71016,0.61078,2.62472,0.09238,0.89129,0.50548,0.69081,0.61708,2.61276,0.0946,0.90392,0.49764,0.68614,0.61573,2.62817,0.0929,0.88338,0.50883,0.67984,0.61656,2.59213,0.09382,0.7955,0.55185,0.6891,0.6491,2.61151,0.0984,0.82223,0.54147,0.69256,0.6367,2.63245,0.09918,0.83557,0.53673,0.69997,0.6328,2.62756,0.10168
1131,1.07139,0.38199,0.69442,0.52224,2.63105,0.0916,0.98854,0.45248,0.66538,0.57999,2.62248,0.08923,0.9872,0.46092,0.67251,0.58554,2.64158,0.09004,0.91565,0.50096,0.65388,0.61079,2.64212,0.09238,0.86953,0.50552,0.64461,0.61709,2.61109,0.09459,0.89645,0.49768,0.63604,0.61575,2.60841,0.0929,0.89247,0.50885,0.64575,0.61658,2.61475,0.09382,0.83615,0.55188,0.61234,0.64911,2.58301,0.09841,0.89002,0.54148,0.63349,0.6367,2.58097,0.09919,0.90243,0.53674,0.64338,0.6328,2.58663,0.10169
1132,1.07021,0.38202,0.69071,0.52225,2.60992,0.09161,0.96428,0.45254,0.59835,0.58009,2.58934,0.08924,0.92533,0.461,0.60003,0.58565,2.62657,0.09005,0.85264,0.50104,0.573,0.61089,2.5876,0.0924,0.85575,0.50559,0.58028,0.61717,2.60473,0.0946,0.88244,0.49773,0.56336,0.61586,2.58331,0.09291,0.87125,0.5089,0.56793,0.61667,2.59818,0.09382,0.81218,0.55192,0.54279,0.64918,2.57134,0.09842,0.8238,0.54153,0.5514,0.63678,2.55985,0.0992,0.84761,0.53678,0.54995,0.63289,2.53324,0.10173
1133,1.07823,0.38202,0.69873,0.52225,2.57372,0.09164,0.94149,0.45259,0.65402,0.58011,2.60637,0.08924,0.93047,0.46103,0.64104,0.58568,2.62413,0.09005,0.87154,0.50109,0.61051,0.61093,2.59674,0.0924,0.86045,0.50565,0.60315,0.61721,2.57419,0.09461,0.87761,0.49778,0.60209,0.6159,2.60368,0.09291,0.88626,0.50893,0.59373,0.61672,2.57687,0.09383,0.82674,0.55195,0.54138,0.64923,2.59322,0.09842,0.83737,0.54157,0.5656,0.63683,2.60487,0.0992,0.83245,0.53683,0.57875,0.63293,2.57707,0.10173
1134,1.05907,0.38206,0.69792,0.52225,2.62167,0.09162,0.97394,0.45261,0.66991,0.58013,2.60612,0.08924,0.95728,0.46105,0.67317,0.58568,2.64757,0.09004,0.91048,0.5011,0.64304,0.61095,2.64426,0.0924,0.91653,0.50565,0.63518,0.61722,2.67039,0.09459,0.91264,0.4978,0.6253,0.61593,2.6669,0.0929,0.90499,0.50894,0.65006,0.61671,2.63862,0.09383,0.85802,0.55196,0.6371,0.64923,2.63824,0.09841,0.87443,0.54157,0.63707,0.63683,2.60018,0.0992,0.88569,0.53684,0.64626,0.63293,2.60526,0.10173
1135,1.04317,0.38211,0.68829,0.52227,2.61765,0.09161,0.91212,0.45267,0.61718,0.58017,2.61087,0.08924,0.89297,0.46113,0.60634,0.58574,2.64119,0.09004,0.82941,0.50118,0.59517,0.61099,2.59117,0.09241,0.81791,0.50573,0.58532,0.61727,2.57883,0.0946,0.83887,0.49787,0.57765,0.61598,2.59923,0.0929,0.8163,0.50902,0.56325,0.61678,2.58724,0.09383,0.75535,0.55203,0.52406,0.64929,2.52834,0.09843,0.78357,0.54163,0.55484,0.63688,2.54443,0.09922,0.78018,0.53691,0.56275,0.63299,2.53767,0.10176
1136,1.08121,0.38212,0.69682,0.52228,2.61764,0.0916,1.02461,0.4527,0.65501,0.5802,2.60743,0.08924,1.02843,0.46115,0.64925,0.58577,2.6389,0.09004,0.96054,0.50123,0.6324,0.611,2.62903,0.0924,0.9777,0.50577,0.61963,0.61729,2.63806,0.0946,0.99093,0.4979,0.60976,0.61602,2.64968,0.09289,0.96857,0.50905,0.61415,0.6168,2.6099,0.09383,0.92572,0.55205,0.58155,0.64931,2.60505,0.09843,0.93728,0.54166,0.60435,0.63689,2.62502,0.09923,0.94482,0.53695,0.61415,0.633,2.59727,0.10177
1137,1.10715,0.38211,0.68934,0.5223,2.62782,0.0916,1.00074,0.45273,0.61918,0.58027,2.58415,0.08924,0.97358,0.4612,0.62419,0.58583,2.57148,0.09005,0.8737,0.50129,0.6109,0.61104,2.5695,0.09242,0.87674,0.50583,0.60754,0.61733,2.55369,0.09461,0.89702,0.49795,0.59555,0.61607,2.54231,0.09291,0.86694,0.50911,0.59978,0.61685,2.56517,0.09384,0.81136,0.55211,0.56319,0.64935,2.53764,0.09845,0.83132,0.54172,0.58896,0.63693,2.55165,0.09925,0.87278,0.53699,0.58487,0.63304,2.54518,0.10179
1138,1.0945,0.38211,0.70034,0.52229,2.59055,0.09162,0.99875,0.45274,0.66731,0.58028,2.57585,0.08925,0.9861,0.46121,0.65838,0.58584,2.58355,0.09006,0.92913,0.50132,0.63124,0.61107,2.57679,0.09242,0.9359,0.50586,0.62529,0.61736,2.59168,0.09462,0.93227,0.49799,0.62951,0.61609,2.60415,0.09291,0.93431,0.50913,0.63489,0.61687,2.57171,0.09385,0.88211,0.55213,0.59998,0.64939,2.57698,0.09846,0.89429,0.54174,0.59912,0.63696,2.5583,0.09926,0.86505,0.53702,0.61135,0.63307,2.57058,0.10179
1139,1.11846,0.38208,0.70265,0.52228,2.61193,0.0916,1.00838,0.45277,0.67147,0.58029,2.58435,0.08926,0.98327,0.46125,0.67122,0.58584,2.60766,0.09006,0.88592,0.50139,0.65684,0.61106,2.60171,0.09243,0.87418,0.50592,0.64618,0.61736,2.59917,0.09462,0.89271,0.49804,0.63868,0.6161,2.58251,0.09292,0.8438,0.5092,0.65168,0.61686,2.59215,0.09385,0.78846,0.5522,0.63445,0.64938,2.55433,0.09847,0.83411,0.54179,0.6482,0.63694,2.53598,0.09928,0.84724,0.53707,0.64741,0.63305,2.55607,0.10181
