batch,loss_L0_age_bin,acc_L0_age_bin,loss_L0_gender,acc_L0_gender,loss_L0_star_sign,acc_L0_star_sign,loss_L4_age_bin,acc_L4_age_bin,loss_L4_gender,acc_L4_gender,loss_L4_star_sign,acc_L4_star_sign,loss_L8_age_bin,acc_L8_age_bin,loss_L8_gender,acc_L8_gender,loss_L8_star_sign,acc_L8_star_sign,loss_L12_age_bin,acc_L12_age_bin,loss_L12_gender,acc_L12_gender,loss_L12_star_sign,acc_L12_star_sign,loss_L16_age_bin,acc_L16_age_bin,loss_L16_gender,acc_L16_gender,loss_L16_star_sign,acc_L16_star_sign,loss_L20_age_bin,acc_L20_age_bin,loss_L20_gender,acc_L20_gender,loss_L20_star_sign,acc_L20_star_sign,loss_L24_age_bin,acc_L24_age_bin,loss_L24_gender,acc_L24_gender,loss_L24_star_sign,acc_L24_star_sign,loss_L28_age_bin,acc_L28_age_bin,loss_L28_gender,acc_L28_gender,loss_L28_star_sign,acc_L28_star_sign,loss_L32_age_bin,acc_L32_age_bin,loss_L32_gender,acc_L32_gender,loss_L32_star_sign,acc_L32_star_sign,loss_L36_age_bin,acc_L36_age_bin,loss_L36_gender,acc_L36_gender,loss_L36_star_sign,acc_L36_star_sign
157,1.2133,0.35572,0.79017,0.51314,2.85668,0.08333,1.14967,0.38878,0.80432,0.53719,2.93936,0.08411,1.16957,0.39035,0.81476,0.53574,3.06319,0.08433,1.1004,0.41927,0.80381,0.55925,3.02513,0.08403,1.07218,0.41648,0.82842,0.56316,3.04449,0.0856,1.10574,0.41467,0.79277,0.56014,3.03173,0.08532,1.04314,0.42871,0.7634,0.56494,2.97966,0.08529,0.99171,0.4776,0.74974,0.59508,3.01889,0.08552,1.01129,0.47302,0.73486,0.59571,2.94438,0.08444,0.9878,0.478,0.78695,0.59067,2.94849,0.08644
158,1.22781,0.35572,0.76568,0.51329,2.87714,0.0833,1.2402,0.38869,0.71419,0.53743,2.91918,0.08409,1.29185,0.39023,0.7125,0.53608,3.01358,0.08432,1.21696,0.41921,0.7123,0.55952,3.00996,0.08403,1.21563,0.41637,0.67772,0.56353,2.97474,0.08564,1.22268,0.4146,0.69715,0.56044,2.99286,0.08533,1.20405,0.42866,0.68589,0.56525,2.98062,0.08531,1.18412,0.47744,0.62089,0.59549,3.03222,0.08549,1.22139,0.47272,0.65054,0.59603,2.92988,0.08448,1.21947,0.47776,0.69254,0.59089,3.02131,0.08642
159,1.20057,0.35598,0.77278,0.51333,2.88367,0.08326,1.15334,0.38881,0.73394,0.53761,2.93282,0.08406,1.18468,0.39037,0.76918,0.53618,2.98074,0.08435,1.1323,0.41945,0.73506,0.55971,3.01739,0.08405,1.12897,0.41661,0.74308,0.5637,2.99194,0.08565,1.17817,0.41465,0.71074,0.56071,3.00393,0.08536,1.14458,0.4288,0.74125,0.56537,2.99859,0.08533,1.03973,0.47764,0.71043,0.59564,2.99082,0.08552,1.02029,0.47306,0.74272,0.59601,2.9136,0.08457,1.07348,0.47798,0.73814,0.59105,2.96717,0.08651
160,1.22023,0.3561,0.77539,0.51344,2.87194,0.08328,1.11667,0.38916,0.73041,0.53785,2.92277,0.08405,1.13657,0.39077,0.72877,0.53656,3.00779,0.08435,1.06734,0.41993,0.73248,0.55995,3.02091,0.08406,1.10487,0.4169,0.70389,0.56405,3.00787,0.08565,1.10578,0.41498,0.73776,0.56095,2.98346,0.08539,1.09608,0.42906,0.70023,0.56571,3.02132,0.08531,0.98761,0.47809,0.66078,0.59612,2.96495,0.08555,0.98072,0.4736,0.67718,0.59635,2.96967,0.08458,1.04175,0.47828,0.68011,0.59148,2.95292,0.08653
161,1.20586,0.35635,0.77315,0.5135,2.86759,0.08331,1.11031,0.38955,0.70295,0.5383,2.9376,0.08403,1.13201,0.39116,0.72833,0.53694,2.9603,0.08441,1.05561,0.42043,0.6744,0.56054,2.98672,0.08406,1.05165,0.41741,0.66611,0.56469,3.00243,0.08568,1.05766,0.4155,0.67441,0.56154,3.00712,0.08542,1.02667,0.42963,0.64924,0.56636,2.99218,0.08535,0.95165,0.47861,0.55672,0.59703,3.00772,0.08553,1.00297,0.47401,0.6124,0.597,2.95321,0.08464,1.02617,0.47859,0.63067,0.59216,2.94956,0.08657
162,1.19267,0.35662,0.77088,0.51356,2.85891,0.08331,1.13913,0.38967,0.75059,0.53842,2.90731,0.08403,1.16848,0.39131,0.76578,0.53704,3.00557,0.08439,1.10856,0.42069,0.75336,0.56066,2.97141,0.08413,1.0666,0.41771,0.76426,0.56477,3.04102,0.08564,1.12571,0.41563,0.76795,0.56164,3.01357,0.08542,1.07363,0.4299,0.74643,0.56645,3.02438,0.08535,0.94147,0.47902,0.69253,0.59724,2.99989,0.08552,0.98686,0.47432,0.75317,0.59701,2.96684,0.08469,1.08917,0.47853,0.78685,0.59213,3.01348,0.08654
163,1.21851,0.35677,0.76554,0.51374,2.84109,0.08332,1.17003,0.38981,0.73128,0.53867,2.92537,0.084,1.18932,0.39144,0.72788,0.53742,3.00329,0.08438,1.10452,0.42105,0.66487,0.56123,3.01811,0.08408,1.12441,0.41794,0.67156,0.56527,2.96621,0.08563,1.17186,0.41569,0.67643,0.56214,2.99808,0.08541,1.11998,0.43009,0.65107,0.56703,3.00807,0.08533,1.00424,0.47938,0.62222,0.59778,2.96806,0.08558,1.0459,0.4746,0.62195,0.59756,2.96037,0.08475,1.06004,0.47871,0.65499,0.5926,2.98813,0.08649
164,1.23208,0.35695,0.80343,0.51355,2.90051,0.08329,1.11009,0.39017,0.79605,0.53852,2.93158,0.08401,1.16896,0.39173,0.79,0.53741,3.00694,0.08442,1.04411,0.42163,0.77692,0.56124,2.97111,0.08419,1.05416,0.41844,0.73951,0.56543,2.95039,0.08571,1.10903,0.41592,0.78249,0.56211,3.04135,0.08538,1.06032,0.43051,0.76168,0.56704,2.96626,0.08535,0.97101,0.47984,0.7094,0.59796,2.96702,0.08565,0.98441,0.4752,0.74382,0.59745,3.01613,0.0848,0.95822,0.47928,0.74627,0.59264,2.94585,0.08664
165,1.19779,0.35712,0.7749,0.51367,2.85632,0.08328,1.13688,0.39035,0.72737,0.53877,2.93911,0.084,1.17362,0.39183,0.72076,0.53777,2.96298,0.08445,1.10466,0.42183,0.6664,0.56173,2.99686,0.08421,1.09628,0.41867,0.65504,0.56594,2.98225,0.08572,1.08148,0.41621,0.6722,0.56252,2.97449,0.08543,1.05412,0.43082,0.63593,0.56755,2.99521,0.08531,1.0198,0.48004,0.60498,0.59852,3.01769,0.0856,0.95919,0.47567,0.61434,0.59799,2.9194,0.08487,1.01667,0.47957,0.62415,0.59312,2.89987,0.0867
166,1.23731,0.35717,0.78359,0.5136,2.869,0.08327,1.23063,0.3903,0.74104,0.5389,2.90278,0.08403,1.23593,0.39187,0.77325,0.53792,3.023,0.08441,1.18083,0.42187,0.73118,0.56188,2.98979,0.08423,1.16035,0.41878,0.75438,0.566,2.98707,0.08572,1.16981,0.41636,0.72963,0.5627,3.06511,0.08537,1.15898,0.43092,0.7192,0.56779,2.99739,0.08531,1.09383,0.48021,0.72613,0.59867,2.99244,0.08562,1.13674,0.47571,0.70919,0.59817,2.95766,0.08489,1.13487,0.47954,0.7216,0.59334,3.03157,0.0867
167,1.2153,0.35723,0.7865,0.51353,2.86082,0.08329,1.14475,0.39042,0.75637,0.53891,2.91573,0.084,1.17204,0.39205,0.77008,0.53796,2.9837,0.08443,1.1101,0.42213,0.78059,0.56181,3.01959,0.08422,1.08521,0.41911,0.7453,0.56603,2.97043,0.08573,1.12482,0.41659,0.80056,0.5625,3.00462,0.08535,1.0983,0.43119,0.7554,0.5677,3.00514,0.08528,0.98167,0.4807,0.71969,0.59867,2.92752,0.08568,1.03882,0.47601,0.77245,0.59799,2.96697,0.08491,1.03949,0.47981,0.74703,0.59328,2.9303,0.08678
168,1.2001,0.35744,0.77099,0.5134,2.85316,0.08323,1.17903,0.39043,0.74931,0.53898,2.87709,0.08405,1.21468,0.39209,0.75272,0.5381,2.9826,0.08443,1.1872,0.42211,0.72322,0.56201,2.99526,0.08424,1.11569,0.41927,0.73448,0.5661,2.97817,0.08572,1.12869,0.41672,0.75695,0.56253,2.98569,0.08537,1.11428,0.43134,0.73765,0.56775,2.9876,0.08531,0.9895,0.48096,0.67913,0.59887,2.93631,0.08572,1.04114,0.47619,0.70793,0.59803,2.95482,0.08495,1.08088,0.4799,0.68179,0.59353,2.96964,0.08677
169,1.21151,0.35761,0.77327,0.51333,2.84494,0.08325,1.19401,0.39044,0.75083,0.53897,2.93011,0.08402,1.23131,0.39208,0.75047,0.53817,2.97903,0.08445,1.13443,0.42223,0.73449,0.56208,2.95031,0.0843,1.13956,0.41935,0.73732,0.56616,2.9835,0.08574,1.17824,0.41667,0.76075,0.56254,2.97225,0.0854,1.14534,0.43138,0.75401,0.56774,2.95778,0.08536,1.05239,0.48101,0.7379,0.59888,3.00017,0.08572,1.09849,0.47626,0.74357,0.59796,2.94974,0.08501,1.0358,0.48005,0.71859,0.59358,2.98965,0.08675
170,1.23058,0.35764,0.78841,0.51324,2.85101,0.08324,1.22627,0.3903,0.82283,0.5387,2.87131,0.08405,1.25228,0.39199,0.81886,0.53801,3.01739,0.08445,1.16138,0.4223,0.8133,0.56193,2.95753,0.08435,1.16797,0.41942,0.77416,0.5661,2.97657,0.08575,1.19987,0.41663,0.77872,0.56248,2.9226,0.08546,1.17113,0.43135,0.78353,0.56765,3.00394,0.08538,0.97222,0.48133,0.7479,0.59889,2.96692,0.08575,0.98028,0.47663,0.74271,0.59788,2.93018,0.08502,1.0627,0.48019,0.71329,0.5937,2.91645,0.08683
171,1.22519,0.35777,0.77212,0.51335,2.91152,0.08324,1.07909,0.3907,0.7224,0.5389,2.89504,0.08406,1.14052,0.39223,0.73388,0.53826,3.04093,0.08444,1.09457,0.42256,0.71076,0.56219,2.98539,0.08437,1.05359,0.41978,0.70497,0.56639,2.96294,0.08576,1.06211,0.41702,0.72718,0.56271,3.04573,0.08543,0.97447,0.43193,0.67875,0.56797,2.97714,0.08539,0.87751,0.48197,0.64088,0.59928,2.99551,0.08573,0.87829,0.47731,0.68643,0.5981,3.00132,0.08498,0.99384,0.4807,0.68676,0.59401,2.94758,0.08684
172,1.18152,0.35809,0.77457,0.51341,2.83752,0.08325,1.12331,0.39091,0.73486,0.53904,2.87629,0.08408,1.14664,0.39247,0.75389,0.5384,2.98852,0.08441,1.05181,0.42297,0.73014,0.56239,3.0308,0.08436,1.06339,0.42016,0.74213,0.56655,2.948,0.08576,1.11499,0.41725,0.73731,0.56287,2.96408,0.08545,1.00869,0.4324,0.72479,0.56818,2.97227,0.08539,0.9281,0.48251,0.70066,0.59948,3.00212,0.08571,0.94919,0.47786,0.74144,0.59816,2.9787,0.08502,0.955,0.48119,0.72294,0.59418,2.91827,0.0869
173,1.23045,0.35816,0.77509,0.5135,2.8734,0.08329,1.1918,0.39095,0.70674,0.53933,2.91731,0.08406,1.19921,0.39263,0.72307,0.53869,2.9757,0.08444,1.11333,0.42323,0.70292,0.56268,3.00144,0.08436,1.12597,0.42031,0.69513,0.56681,2.97562,0.08578,1.19122,0.41723,0.68268,0.56318,2.96881,0.08547,1.14119,0.43251,0.70619,0.56835,2.94464,0.0854,1.05723,0.48265,0.63546,0.59983,2.9418,0.08575,1.11767,0.47795,0.64288,0.5985,2.91084,0.08513,1.11108,0.48129,0.64222,0.59453,2.8487,0.08706
174,1.21275,0.3582,0.77822,0.5135,2.86619,0.08328,1.05925,0.39135,0.75266,0.53938,2.87218,0.08411,1.078,0.39302,0.76132,0.53878,2.96017,0.08447,0.99125,0.42375,0.70455,0.56296,2.99377,0.08438,0.9656,0.42089,0.68395,0.56708,2.94129,0.0858,0.98588,0.41778,0.68121,0.56347,2.96162,0.08548,0.93555,0.4331,0.66456,0.56867,2.93701,0.08543,0.8387,0.48321,0.61832,0.6002,2.96495,0.08575,0.86842,0.47852,0.64533,0.59879,2.9836,0.08514,0.90759,0.48172,0.67269,0.59473,2.86959,0.08712
