batch,loss_L0_age_bin,acc_L0_age_bin,loss_L0_gender,acc_L0_gender,loss_L0_star_sign,acc_L0_star_sign,loss_L4_age_bin,acc_L4_age_bin,loss_L4_gender,acc_L4_gender,loss_L4_star_sign,acc_L4_star_sign,loss_L8_age_bin,acc_L8_age_bin,loss_L8_gender,acc_L8_gender,loss_L8_star_sign,acc_L8_star_sign,loss_L12_age_bin,acc_L12_age_bin,loss_L12_gender,acc_L12_gender,loss_L12_star_sign,acc_L12_star_sign,loss_L16_age_bin,acc_L16_age_bin,loss_L16_gender,acc_L16_gender,loss_L16_star_sign,acc_L16_star_sign,loss_L20_age_bin,acc_L20_age_bin,loss_L20_gender,acc_L20_gender,loss_L20_star_sign,acc_L20_star_sign,loss_L24_age_bin,acc_L24_age_bin,loss_L24_gender,acc_L24_gender,loss_L24_star_sign,acc_L24_star_sign
218,1.24109,0.35396,0.75784,0.51145,2.84982,0.08454,1.19076,0.36346,0.74686,0.51825,2.91042,0.08349,1.13231,0.38557,0.71423,0.53351,2.92352,0.08342,1.13304,0.38287,0.70518,0.53813,2.91233,0.08373,1.03477,0.41156,0.70311,0.5487,2.88377,0.08452,1.04702,0.4356,0.70011,0.55479,2.92488,0.08561,1.01927,0.44952,0.7029,0.58299,2.9077,0.08677
219,1.19197,0.35409,0.75334,0.5115,2.86313,0.08454,1.15989,0.36361,0.74551,0.51835,2.93405,0.08349,1.10864,0.38575,0.70117,0.53373,2.8637,0.08344,1.13965,0.38303,0.72559,0.53824,2.90737,0.08374,1.09135,0.41174,0.72024,0.5488,2.84948,0.08457,1.03111,0.43582,0.69465,0.55497,2.95453,0.08558,0.99642,0.44978,0.6826,0.58317,2.97231,0.08676
220,1.19842,0.35412,0.75671,0.51159,2.84704,0.08458,1.17897,0.36371,0.74695,0.51846,2.92135,0.08348,1.10557,0.38595,0.72774,0.53387,2.90161,0.08345,1.14681,0.38314,0.73341,0.5383,2.94089,0.08372,1.06443,0.41195,0.71064,0.54896,2.9469,0.08456,1.05596,0.43592,0.72608,0.55502,2.93246,0.08557,1.00715,0.45001,0.71841,0.58323,2.93583,0.08672
221,1.20766,0.35415,0.75262,0.51167,2.8339,0.0846,1.18288,0.36381,0.7396,0.51861,2.90048,0.08348,1.13683,0.38607,0.7056,0.53409,2.86742,0.08348,1.14743,0.38327,0.7088,0.53847,2.90016,0.08374,1.09773,0.41209,0.66842,0.54928,2.90208,0.08458,1.06314,0.43609,0.67653,0.55533,2.90672,0.08559,1.04869,0.45019,0.68269,0.58343,2.86192,0.08675
222,1.2011,0.35422,0.76862,0.51165,2.83981,0.08466,1.18032,0.3639,0.7827,0.51856,2.92051,0.08347,1.12163,0.38623,0.79132,0.53397,2.88642,0.08349,1.15358,0.38338,0.78601,0.53836,2.909,0.08375,1.05435,0.41235,0.78466,0.54919,2.9731,0.08456,1.03672,0.43629,0.80603,0.55518,2.95299,0.08557,1.00371,0.45046,0.83019,0.5832,2.81616,0.08683
223,1.19951,0.35427,0.76506,0.51164,2.85895,0.08464,1.16107,0.36406,0.76543,0.5186,2.91241,0.08352,1.06965,0.38653,0.74207,0.53403,2.9254,0.08349,1.11413,0.38358,0.73132,0.53844,2.90256,0.08375,1.00173,0.41273,0.72889,0.54929,2.94137,0.08455,0.95325,0.43668,0.73732,0.55524,2.92426,0.08557,0.94229,0.45088,0.73561,0.58319,2.85473,0.08687
224,1.21236,0.35426,0.77319,0.51162,2.84589,0.08464,1.16543,0.3642,0.77329,0.51859,2.91246,0.08351,1.10041,0.38675,0.75952,0.53401,2.90456,0.08348,1.12111,0.3838,0.77276,0.53838,2.9056,0.08376,1.05311,0.413,0.75218,0.54932,2.88131,0.08459,0.98675,0.43708,0.77356,0.55516,2.90967,0.08559,0.97833,0.45127,0.75904,0.58315,2.95311,0.08687
225,1.20724,0.35426,0.76723,0.51162,2.83751,0.08465,1.18422,0.36429,0.76462,0.5186,2.91227,0.08353,1.10136,0.38697,0.74445,0.53406,2.90194,0.08348,1.11704,0.38399,0.73025,0.53846,2.88861,0.08379,1.07059,0.41322,0.7207,0.54942,2.88309,0.08461,1.01608,0.43732,0.71071,0.55529,2.92426,0.08558,1.00254,0.45152,0.68382,0.58329,2.93267,0.08685
226,1.21537,0.35428,0.7566,0.51166,2.83351,0.08466,1.1907,0.36437,0.73833,0.51873,2.91752,0.08353,1.15186,0.38708,0.7008,0.53427,2.91634,0.08347,1.16672,0.38407,0.69506,0.5387,2.89483,0.08383,1.10272,0.41338,0.68511,0.54966,2.98103,0.08459,1.10974,0.43741,0.70905,0.55541,2.89701,0.08559,1.12361,0.45161,0.7263,0.58332,2.86588,0.08693
227,1.21253,0.35426,0.76281,0.51167,2.85002,0.08469,1.18416,0.36447,0.73233,0.51885,2.93676,0.08352,1.1322,0.38721,0.69699,0.53446,2.88511,0.08347,1.12379,0.38424,0.6931,0.5389,2.89806,0.08384,1.07702,0.41359,0.65483,0.54995,2.92378,0.08458,1.06754,0.43756,0.66164,0.55569,2.87472,0.08562,1.07692,0.45173,0.68258,0.58343,2.8427,0.08695
