batch,loss_L0_age_bin,acc_L0_age_bin,loss_L0_gender,acc_L0_gender,loss_L0_star_sign,acc_L0_star_sign,loss_L4_age_bin,acc_L4_age_bin,loss_L4_gender,acc_L4_gender,loss_L4_star_sign,acc_L4_star_sign,loss_L8_age_bin,acc_L8_age_bin,loss_L8_gender,acc_L8_gender,loss_L8_star_sign,acc_L8_star_sign,loss_L12_age_bin,acc_L12_age_bin,loss_L12_gender,acc_L12_gender,loss_L12_star_sign,acc_L12_star_sign,loss_L16_age_bin,acc_L16_age_bin,loss_L16_gender,acc_L16_gender,loss_L16_star_sign,acc_L16_star_sign,loss_L20_age_bin,acc_L20_age_bin,loss_L20_gender,acc_L20_gender,loss_L20_star_sign,acc_L20_star_sign,loss_L24_age_bin,acc_L24_age_bin,loss_L24_gender,acc_L24_gender,loss_L24_star_sign,acc_L24_star_sign,loss_L28_age_bin,acc_L28_age_bin,loss_L28_gender,acc_L28_gender,loss_L28_star_sign,acc_L28_star_sign
1361,1.07076,0.38717,0.69031,0.52533,2.53751,0.09243,1.11446,0.47459,0.61319,0.5971,2.54016,0.0931,0.96805,0.54452,0.55714,0.63847,2.48552,0.09929,0.84071,0.58045,0.50664,0.66205,2.51442,0.10288,0.8876,0.58656,0.51099,0.66208,2.48464,0.10281,0.88288,0.63553,0.44598,0.70515,2.38725,0.116,0.82268,0.62377,0.44372,0.68942,2.31197,0.11535,0.84078,0.61313,0.49079,0.67924,2.30279,0.12122
1362,1.03488,0.38721,0.69353,0.52533,2.56451,0.09241,0.92197,0.47465,0.68122,0.59711,2.61059,0.0931,0.85056,0.54456,0.66319,0.63844,2.59974,0.09928,0.76876,0.58049,0.64772,0.66203,2.5683,0.10289,0.79175,0.58659,0.63464,0.66206,2.61934,0.10281,0.66636,0.63558,0.57871,0.70513,2.51489,0.11602,0.67342,0.62382,0.61273,0.68941,2.62179,0.11535,0.69075,0.61318,0.61592,0.67924,2.61881,0.12122
1363,1.18878,0.38713,0.70548,0.52532,2.52311,0.09242,1.15369,0.47459,0.67074,0.59711,2.49591,0.09314,0.99551,0.54453,0.59293,0.63848,2.51049,0.0993,0.86224,0.58047,0.58031,0.66206,2.47312,0.10292,0.84011,0.58658,0.58882,0.66208,2.47049,0.10283,0.6981,0.6356,0.63028,0.7051,2.46881,0.11604,0.78045,0.62383,0.60275,0.6894,2.42863,0.11538,0.78506,0.61319,0.6018,0.67923,2.43175,0.12124
1364,1.05139,0.38713,0.69334,0.52532,2.56187,0.09242,0.97152,0.47459,0.66436,0.59713,2.62312,0.09313,0.89096,0.54453,0.65419,0.63848,2.57663,0.09931,0.83619,0.58048,0.61487,0.66207,2.59386,0.10292,0.82468,0.58659,0.61597,0.66209,2.55179,0.10285,0.72439,0.63561,0.60404,0.7051,2.54097,0.11605,0.75355,0.62383,0.63273,0.6894,2.5751,0.11538,0.81605,0.61319,0.67568,0.67922,2.61467,0.12123
1365,1.12391,0.3871,0.69903,0.52532,2.61018,0.0924,0.86036,0.47466,0.6789,0.59711,2.58871,0.09313,0.81778,0.5446,0.76196,0.63842,2.60444,0.0993,0.82401,0.58054,0.7201,0.66201,2.57904,0.10292,0.76296,0.58664,0.70074,0.66205,2.53114,0.10286,0.7653,0.63564,0.6612,0.70507,2.57727,0.11604,0.73231,0.62388,0.6279,0.6894,2.64188,0.11536,0.73513,0.61324,0.69825,0.6792,2.72028,0.1212
1366,1.06159,0.38711,0.6931,0.52533,2.5096,0.09242,0.93588,0.47465,0.64738,0.59715,2.53646,0.09315,0.80755,0.54462,0.60934,0.63844,2.51041,0.09932,0.72227,0.58059,0.56097,0.66205,2.5097,0.10294,0.70024,0.58671,0.56816,0.66208,2.49755,0.10288,0.5904,0.63574,0.48384,0.70512,2.50439,0.11606,0.64156,0.62394,0.5122,0.68945,2.46753,0.11538,0.66746,0.61329,0.54752,0.67923,2.49977,0.12122
1367,1.10212,0.38709,0.6859,0.52536,2.55577,0.09244,0.91273,0.47468,0.59239,0.59724,2.5562,0.09315,0.78263,0.54467,0.57651,0.6385,2.55054,0.09934,0.68239,0.58068,0.53401,0.66212,2.54709,0.10295,0.68081,0.58679,0.54771,0.66214,2.50996,0.1029,0.70219,0.63577,0.48862,0.70518,2.49464,0.11607,0.67849,0.624,0.53976,0.68949,2.54151,0.11538,0.70372,0.61334,0.55069,0.67926,2.54484,0.12122
1368,1.07625,0.38711,0.68968,0.52537,2.55267,0.09242,0.95864,0.47469,0.61254,0.5973,2.59993,0.09314,0.80908,0.54472,0.56044,0.63856,2.58934,0.09933,0.7491,0.58073,0.48703,0.66221,2.54454,0.10295,0.74388,0.58684,0.47913,0.66224,2.56479,0.1029,0.64546,0.63583,0.46744,0.70524,2.5415,0.11608,0.64825,0.62406,0.47422,0.68955,2.56138,0.11539,0.68267,0.61338,0.47711,0.67933,2.55303,0.12122
1369,1.07024,0.38712,0.69861,0.52537,2.53827,0.09244,0.90508,0.47475,0.68351,0.59731,2.59213,0.09314,0.8224,0.54475,0.61781,0.63858,2.56606,0.09934,0.83588,0.58074,0.601,0.66222,2.54383,0.10296,0.83612,0.58683,0.63278,0.66223,2.59403,0.1029,0.84077,0.6358,0.60236,0.70521,2.53815,0.11608,0.85326,0.62402,0.62498,0.68953,2.55856,0.11539,0.83227,0.61335,0.66554,0.67931,2.56743,0.12121
1370,1.10412,0.3871,0.69423,0.52538,2.55922,0.09242,0.98835,0.47477,0.65788,0.59734,2.57171,0.09314,0.89523,0.54476,0.60541,0.63862,2.54223,0.09936,0.78407,0.58078,0.59458,0.66224,2.52378,0.10298,0.76269,0.58689,0.58438,0.66227,2.50521,0.10293,0.67923,0.63585,0.53184,0.70526,2.45999,0.11611,0.70762,0.62407,0.55888,0.68957,2.45298,0.11543,0.73603,0.61339,0.58545,0.67933,2.45202,0.12124
