model,n_params,d_model,layer,task,pca_dims,lambda,centroid_margin
Llama-3.2-1B,1.2,2048,8,age_bin,512,1.0,0.027483
Llama-3.2-1B,1.2,2048,8,gender,2048,1.0,0.100411
Llama-3.2-1B,1.2,2048,8,gender,32,1.0,0.023564
Llama-3.2-1B,1.2,2048,8,gender,64,1.0,0.028727
Llama-3.2-1B,1.2,2048,8,gender,128,1.0,0.035768
Llama-3.2-1B,1.2,2048,8,gender,256,1.0,0.049894
Llama-3.2-1B,1.2,2048,8,gender,512,1.0,0.065445
Llama-3.2-3B,3.2,3072,0,age_bin,3072,1.0,-0.036837
Llama-3.2-3B,3.2,3072,0,age_bin,32,1.0,-0.046836
Llama-3.2-3B,3.2,3072,0,age_bin,64,1.0,-0.046134
Llama-3.2-3B,3.2,3072,0,age_bin,128,1.0,-0.044799
Llama-3.2-3B,3.2,3072,0,age_bin,256,1.0,-0.043542
Llama-3.2-3B,3.2,3072,0,age_bin,512,1.0,-0.042268
Llama-3.2-3B,3.2,3072,0,gender,3072,1.0,0.010826
Llama-3.2-3B,3.2,3072,0,gender,32,1.0,0.002548
Llama-3.2-3B,3.2,3072,0,gender,64,1.0,0.003186
Llama-3.2-3B,3.2,3072,0,gender,128,1.0,0.004264
Llama-3.2-3B,3.2,3072,0,gender,256,1.0,0.005171
Llama-3.2-3B,3.2,3072,0,gender,512,1.0,0.005943
Llama-3.2-3B,3.2,3072,12,age_bin,3072,1.0,0.107406
Llama-3.2-3B,3.2,3072,12,age_bin,32,1.0,-0.021704
Llama-3.2-3B,3.2,3072,12,age_bin,64,1.0,-0.006305
Llama-3.2-3B,3.2,3072,12,age_bin,128,1.0,0.004673
Llama-3.2-3B,3.2,3072,12,age_bin,256,1.0,0.023246
Llama-3.2-3B,3.2,3072,12,age_bin,512,1.0,0.036351
Llama-3.2-3B,3.2,3072,12,gender,3072,1.0,0.142659
Llama-3.2-3B,3.2,3072,12,gender,32,1.0,0.024749
Llama-3.2-3B,3.2,3072,12,gender,64,1.0,0.029816
Llama-3.2-3B,3.2,3072,12,gender,128,1.0,0.039258
Llama-3.2-3B,3.2,3072,12,gender,256,1.0,0.05851
Llama-3.2-3B,3.2,3072,12,gender,512,1.0,0.080403
Llama-3.2-3B,3.2,3072,16,age_bin,3072,1.0,0.163352
Llama-3.2-3B,3.2,3072,16,age_bin,32,1.0,0.000462
Llama-3.2-3B,3.2,3072,16,age_bin,64,1.0,0.016945
Llama-3.2-3B,3.2,3072,16,age_bin,128,1.0,0.037882
Llama-3.2-3B,3.2,3072,16,age_bin,256,1.0,0.05303
Llama-3.2-3B,3.2,3072,16,age_bin,512,1.0,0.067719
Llama-3.2-3B,3.2,3072,16,gender,3072,1.0,0.19551
Llama-3.2-3B,3.2,3072,16,gender,32,1.0,0.032865
Llama-3.2-3B,3.2,3072,16,gender,64,1.0,0.04386
Llama-3.2-3B,3.2,3072,16,gender,128,1.0,0.063693
Llama-3.2-3B,3.2,3072,16,gender,256,1.0,0.091625
Llama-3.2-3B,3.2,3072,16,gender,512,1.0,0.11313
Llama-3.2-3B,3.2,3072,20,age_bin,3072,1.0,0.165427
Llama-3.2-3B,3.2,3072,20,age_bin,32,1.0,0.001316
Llama-3.2-3B,3.2,3072,20,age_bin,64,1.0,0.02068
