batch,loss_L0_age_bin,acc_L0_age_bin,loss_L0_gender,acc_L0_gender,loss_L0_star_sign,acc_L0_star_sign,loss_L4_age_bin,acc_L4_age_bin,loss_L4_gender,acc_L4_gender,loss_L4_star_sign,acc_L4_star_sign,loss_L8_age_bin,acc_L8_age_bin,loss_L8_gender,acc_L8_gender,loss_L8_star_sign,acc_L8_star_sign,loss_L12_age_bin,acc_L12_age_bin,loss_L12_gender,acc_L12_gender,loss_L12_star_sign,acc_L12_star_sign,loss_L16_age_bin,acc_L16_age_bin,loss_L16_gender,acc_L16_gender,loss_L16_star_sign,acc_L16_star_sign,loss_L20_age_bin,acc_L20_age_bin,loss_L20_gender,acc_L20_gender,loss_L20_star_sign,acc_L20_star_sign,loss_L24_age_bin,acc_L24_age_bin,loss_L24_gender,acc_L24_gender,loss_L24_star_sign,acc_L24_star_sign,loss_L28_age_bin,acc_L28_age_bin,loss_L28_gender,acc_L28_gender,loss_L28_star_sign,acc_L28_star_sign
28,1.38367,0.3234,0.89875,0.49511,3.11469,0.0838,1.42263,0.33698,0.91809,0.50667,3.12949,0.08405,1.47609,0.34344,0.91341,0.50338,3.1512,0.08171,1.42345,0.3382,0.86534,0.50696,3.18101,0.08441,1.45166,0.33677,0.91876,0.51377,3.26706,0.08415,1.37773,0.36594,0.90489,0.52216,3.24631,0.08364,1.37878,0.36272,0.92379,0.51827,3.22214,0.08398,1.36187,0.366,0.86051,0.53008,3.19093,0.08237
29,1.38303,0.32357,0.9045,0.49524,3.11164,0.08378,1.41838,0.33738,0.88794,0.50691,3.13951,0.08402,1.44887,0.34361,0.92512,0.50351,3.11761,0.08195,1.46763,0.33821,0.89842,0.50726,3.22506,0.08417,1.48013,0.3369,0.91966,0.5141,3.22049,0.08416,1.31417,0.36705,0.89347,0.52257,3.17063,0.08371,1.3931,0.36307,0.90398,0.51889,3.20133,0.08398,1.374,0.36652,0.83859,0.53071,3.18266,0.08235
30,1.37869,0.32398,0.89559,0.49539,3.1025,0.08367,1.4554,0.33725,0.88391,0.50721,3.11319,0.08411,1.4447,0.3437,0.91534,0.50396,3.16803,0.08196,1.39869,0.33892,0.89038,0.50773,3.11186,0.08441,1.48192,0.33716,0.90394,0.51483,3.17787,0.08435,1.32681,0.36803,0.89295,0.52293,3.1995,0.08367,1.3642,0.3637,0.92721,0.519,3.18847,0.08402,1.35674,0.36746,0.82726,0.532,3.15597,0.08243
31,1.38588,0.32446,0.89383,0.49568,3.11053,0.08371,1.39932,0.33796,0.87375,0.50768,3.14839,0.08398,1.42999,0.34409,0.92073,0.50425,3.11603,0.08214,1.40248,0.33961,0.87606,0.50832,3.20353,0.08412,1.418,0.33802,0.90698,0.51537,3.14306,0.0847,1.30867,0.36926,0.89541,0.5234,3.21792,0.08363,1.3005,0.36556,0.9041,0.51964,3.18003,0.08399,1.31407,0.36906,0.84257,0.53292,3.21328,0.08245
32,1.37634,0.32481,0.88366,0.49556,3.11726,0.0837,1.42116,0.33829,0.89517,0.50742,3.10559,0.08401,1.4002,0.34483,0.92243,0.50456,3.16501,0.08205,1.39981,0.34038,0.89401,0.50852,3.12889,0.08442,1.40408,0.33894,0.91025,0.51564,3.18432,0.08483,1.2964,0.3704,0.90794,0.5232,3.20366,0.08366,1.36994,0.36608,0.91859,0.51979,3.14646,0.08423,1.27322,0.37085,0.79552,0.53418,3.14377,0.08263
33,1.38067,0.32488,0.88275,0.49578,3.09576,0.08361,1.40048,0.33877,0.86702,0.50773,3.11122,0.08395,1.42813,0.34505,0.89423,0.50503,3.21201,0.08197,1.41326,0.34074,0.89005,0.50883,3.14022,0.08449,1.42428,0.33936,0.931,0.51558,3.23175,0.08469,1.31193,0.37116,0.89525,0.52337,3.18725,0.08372,1.38066,0.3663,0.90225,0.52014,3.16625,0.08428,1.35493,0.37119,0.87213,0.53437,3.16281,0.08273
34,1.3674,0.32518,0.89048,0.49594,3.10555,0.08357,1.39214,0.33944,0.89582,0.50758,3.13089,0.08383,1.42232,0.34553,0.93149,0.50487,3.13974,0.08202,1.40497,0.3412,0.87496,0.50929,3.13731,0.08457,1.42637,0.33983,0.93822,0.51543,3.21761,0.08464,1.37336,0.37129,0.89517,0.52347,3.23977,0.08348,1.34268,0.36713,0.90121,0.52041,3.1925,0.08436,1.32071,0.37207,0.79665,0.53551,3.20732,0.08259
35,1.36776,0.32524,0.89977,0.49593,3.11742,0.08344,1.40045,0.33975,0.85542,0.50811,3.09404,0.08386,1.41558,0.34589,0.92342,0.50491,3.139,0.08207,1.38858,0.34171,0.87213,0.50983,3.13575,0.08461,1.40787,0.3404,0.87306,0.5161,3.19858,0.08452,1.29189,0.37224,0.85846,0.52407,3.1529,0.08357,1.29065,0.36822,0.85487,0.52126,3.13393,0.08454,1.29498,0.37308,0.81546,0.53612,3.13403,0.08271
36,1.36929,0.3257,0.88229,0.49617,3.09769,0.08344,1.39953,0.34018,0.87716,0.50812,3.10019,0.08389,1.4353,0.34596,0.89823,0.50525,3.14798,0.08207,1.40702,0.34202,0.88285,0.51013,3.17375,0.08452,1.44155,0.34065,0.90711,0.51638,3.18307,0.08446,1.31947,0.37262,0.88626,0.52433,3.18887,0.0836,1.29527,0.36927,0.88067,0.52167,3.13843,0.08476,1.29543,0.37382,0.81121,0.53676,3.14656,0.08266
37,1.36865,0.32605,0.88955,0.4964,3.10083,0.08341,1.39238,0.34057,0.85741,0.50848,3.12161,0.08385,1.45805,0.34592,0.87102,0.50605,3.17381,0.08198,1.39752,0.3424,0.82039,0.51149,3.12462,0.08473,1.4206,0.34117,0.86367,0.51712,3.1862,0.08449,1.32645,0.37314,0.82637,0.52545,3.22853,0.08347,1.33181,0.36987,0.84307,0.52298,3.17497,0.08482,1.26819,0.37522,0.78739,0.53825,3.14123,0.08283
