batch,loss_L0_age_bin,acc_L0_age_bin,loss_L0_gender,acc_L0_gender,loss_L0_star_sign,acc_L0_star_sign,loss_L4_age_bin,acc_L4_age_bin,loss_L4_gender,acc_L4_gender,loss_L4_star_sign,acc_L4_star_sign,loss_L8_age_bin,acc_L8_age_bin,loss_L8_gender,acc_L8_gender,loss_L8_star_sign,acc_L8_star_sign,loss_L12_age_bin,acc_L12_age_bin,loss_L12_gender,acc_L12_gender,loss_L12_star_sign,acc_L12_star_sign,loss_L16_age_bin,acc_L16_age_bin,loss_L16_gender,acc_L16_gender,loss_L16_star_sign,acc_L16_star_sign,loss_L20_age_bin,acc_L20_age_bin,loss_L20_gender,acc_L20_gender,loss_L20_star_sign,acc_L20_star_sign,loss_L24_age_bin,acc_L24_age_bin,loss_L24_gender,acc_L24_gender,loss_L24_star_sign,acc_L24_star_sign,loss_L28_age_bin,acc_L28_age_bin,loss_L28_gender,acc_L28_gender,loss_L28_star_sign,acc_L28_star_sign
455,1.12841,0.36756,0.72879,0.51721,2.74044,0.08639,1.03219,0.40978,0.68383,0.55173,2.6968,0.08509,0.97978,0.43467,0.66599,0.57326,2.70571,0.08597,0.95578,0.44734,0.65048,0.58098,2.70958,0.08551,0.96387,0.44445,0.66145,0.57568,2.69165,0.0861,0.9036,0.48155,0.63739,0.59567,2.7318,0.08742,0.9124,0.50937,0.63004,0.61504,2.72916,0.09037,0.90598,0.51551,0.64306,0.62269,2.7744,0.09212
456,1.12355,0.36762,0.72156,0.51723,2.74248,0.08641,1.03581,0.40987,0.66874,0.55184,2.7138,0.0851,0.98378,0.43481,0.6448,0.57338,2.71385,0.08598,0.9665,0.44748,0.63212,0.58111,2.71271,0.08552,0.98666,0.44456,0.64769,0.57579,2.68731,0.08612,0.93341,0.48166,0.62105,0.59579,2.76417,0.08741,0.90237,0.50949,0.6075,0.61514,2.76606,0.09038,0.89797,0.51562,0.60803,0.62278,2.79157,0.09213
457,1.14368,0.36765,0.71977,0.51725,2.73476,0.08642,1.07449,0.40991,0.6913,0.55188,2.72236,0.08509,1.00697,0.43493,0.66302,0.57346,2.71835,0.08597,1.01564,0.44752,0.65778,0.58118,2.72768,0.08552,1.02704,0.44461,0.673,0.57584,2.7135,0.08613,0.96943,0.48174,0.63258,0.59589,2.76388,0.08741,0.95366,0.50957,0.61227,0.61523,2.75849,0.09039,0.96852,0.51567,0.6123,0.62287,2.78557,0.09214
458,1.16686,0.36763,0.72697,0.51726,2.73311,0.08645,1.04411,0.41002,0.70274,0.5519,2.70183,0.0851,1.01663,0.43506,0.70521,0.57348,2.70828,0.08598,1.00147,0.44764,0.69045,0.58121,2.67682,0.08555,1.00762,0.44471,0.67632,0.5759,2.71454,0.08613,0.91072,0.4819,0.66833,0.59595,2.75561,0.08741,0.87835,0.50974,0.67006,0.61526,2.71682,0.09042,0.86955,0.51583,0.6972,0.62285,2.80273,0.09217
459,1.13029,0.36764,0.72876,0.51725,2.73141,0.08646,1.0069,0.41022,0.69613,0.55193,2.72294,0.0851,0.95654,0.4353,0.68723,0.57351,2.71052,0.08598,0.95103,0.44785,0.68523,0.58123,2.70728,0.08556,0.95882,0.44491,0.68496,0.57591,2.70329,0.08613,0.87725,0.48215,0.66967,0.59598,2.7142,0.08742,0.85018,0.50997,0.65544,0.61527,2.77872,0.09043,0.8813,0.51604,0.66366,0.62283,2.81636,0.09218
460,1.14934,0.36764,0.71922,0.51728,2.73309,0.08646,1.07628,0.41028,0.64849,0.5521,2.69643,0.0851,0.99944,0.43544,0.64255,0.57367,2.7164,0.08598,0.95237,0.44803,0.6355,0.58138,2.72485,0.08555,0.98887,0.44502,0.64001,0.57607,2.68827,0.08615,0.92432,0.48231,0.62384,0.59613,2.74912,0.08742,0.88624,0.51012,0.60047,0.61542,2.7623,0.09044,0.91539,0.51615,0.6088,0.62295,2.80138,0.09218
461,1.14834,0.36767,0.71813,0.51732,2.73168,0.08649,1.11365,0.41033,0.67284,0.55222,2.69517,0.08512,1.06423,0.43551,0.67927,0.57372,2.72513,0.08599,1.0556,0.44811,0.66687,0.58144,2.7087,0.08556,1.06036,0.44508,0.68357,0.5761,2.71238,0.08615,1.02694,0.48237,0.63771,0.59622,2.69647,0.08743,0.98916,0.51017,0.64256,0.61548,2.67499,0.09049,1.03783,0.51616,0.62783,0.62301,2.72003,0.09221
462,1.12171,0.36774,0.72659,0.51732,2.75497,0.08647,1.04612,0.41041,0.69599,0.55225,2.7095,0.08512,0.96489,0.43569,0.68518,0.57377,2.74171,0.08598,0.93733,0.44828,0.6818,0.58149,2.72357,0.08555,0.96684,0.44521,0.67581,0.57616,2.70161,0.08615,0.90449,0.48251,0.68887,0.59622,2.71425,0.08745,0.88575,0.51031,0.65712,0.61552,2.77366,0.09048,0.888,0.51629,0.65523,0.62305,2.76638,0.09222
463,1.14769,0.36775,0.72102,0.51734,2.73537,0.08647,1.0993,0.41042,0.6841,0.55233,2.71586,0.08511,1.02954,0.4358,0.66001,0.57387,2.71107,0.08599,1.03254,0.44833,0.63991,0.58162,2.7016,0.08557,1.05674,0.44522,0.64293,0.57628,2.70134,0.08616,0.98008,0.48258,0.644,0.5963,2.70595,0.08747,0.93193,0.51041,0.62622,0.61559,2.73292,0.09052,0.95281,0.51635,0.63246,0.6231,2.71951,0.09228
464,1.15793,0.36773,0.72597,0.51731,2.74029,0.08646,1.05482,0.4105,0.71312,0.5523,2.71088,0.08511,1.01887,0.43589,0.71673,0.57384,2.68967,0.086,1.02089,0.4484,0.71292,0.58158,2.66994,0.08561,1.01051,0.4453,0.71214,0.57626,2.67582,0.08618,0.95836,0.48268,0.69404,0.59629,2.70557,0.0875,0.93095,0.51048,0.66127,0.61559,2.71687,0.09057,0.90571,0.51644,0.67275,0.62309,2.75924,0.09231
465,1.1468,0.36775,0.71736,0.51733,2.74672,0.08646,1.08376,0.41056,0.66858,0.55241,2.7052,0.08511,1.02432,0.43602,0.64888,0.57396,2.71891,0.08601,1.00181,0.44852,0.62855,0.58174,2.73394,0.0856,1.00675,0.44545,0.63243,0.57642,2.71091,0.08618,0.95254,0.48283,0.62158,0.59643,2.73731,0.0875,0.97015,0.51059,0.60899,0.61572,2.76128,0.09057,0.96773,0.51653,0.60368,0.6232,2.79255,0.09231
466,1.146,0.36773,0.72427,0.51733,2.71942,0.08649,1.04822,0.41063,0.69828,0.55243,2.71781,0.08511,0.98918,0.43615,0.68401,0.57399,2.70062,0.08602,0.96417,0.44865,0.69572,0.58173,2.70133,0.08561,0.99184,0.44554,0.69556,0.57642,2.69314,0.0862,0.87119,0.48305,0.67291,0.59644,2.74011,0.0875,0.83862,0.51079,0.6588,0.61571,2.74125,0.09059,0.84324,0.51672,0.64778,0.62322,2.75458,0.09233
467,1.14379,0.36776,0.708,0.5174,2.72809,0.08654,1.09214,0.41068,0.63382,0.55266,2.69478,0.08512,1.0504,0.43622,0.61682,0.5742,2.69152,0.08603,1.03295,0.44873,0.59394,0.58195,2.67404,0.08564,1.0602,0.44558,0.59864,0.57664,2.68326,0.08621,1.01064,0.48309,0.58076,0.59666,2.69314,0.08752,0.99144,0.51082,0.58795,0.61589,2.76426,0.09059,0.99314,0.51675,0.58592,0.62338,2.85318,0.09232
