batch,loss_L0_age_bin,acc_L0_age_bin,loss_L0_gender,acc_L0_gender,loss_L0_star_sign,acc_L0_star_sign,loss_L4_age_bin,acc_L4_age_bin,loss_L4_gender,acc_L4_gender,loss_L4_star_sign,acc_L4_star_sign,loss_L8_age_bin,acc_L8_age_bin,loss_L8_gender,acc_L8_gender,loss_L8_star_sign,acc_L8_star_sign,loss_L12_age_bin,acc_L12_age_bin,loss_L12_gender,acc_L12_gender,loss_L12_star_sign,acc_L12_star_sign,loss_L16_age_bin,acc_L16_age_bin,loss_L16_gender,acc_L16_gender,loss_L16_star_sign,acc_L16_star_sign,loss_L20_age_bin,acc_L20_age_bin,loss_L20_gender,acc_L20_gender,loss_L20_star_sign,acc_L20_star_sign,loss_L24_age_bin,acc_L24_age_bin,loss_L24_gender,acc_L24_gender,loss_L24_star_sign,acc_L24_star_sign,loss_L28_age_bin,acc_L28_age_bin,loss_L28_gender,acc_L28_gender,loss_L28_star_sign,acc_L28_star_sign
712,1.16564,0.37265,0.70337,0.51846,2.67723,0.08876,1.09168,0.41834,0.66554,0.55532,2.65277,0.08602,1.04591,0.43378,0.67397,0.57498,2.66723,0.08738,1.0288,0.4434,0.66477,0.58188,2.63414,0.08675,1.00975,0.44188,0.65499,0.5762,2.64132,0.08782,0.95712,0.47134,0.64703,0.58983,2.62352,0.08839,0.90477,0.49979,0.66361,0.61063,2.64292,0.09207,0.91055,0.50319,0.66486,0.6152,2.61015,0.09374
713,1.12536,0.37266,0.70993,0.51846,2.66934,0.08876,1.05827,0.41836,0.6851,0.55535,2.64702,0.08602,1.01459,0.43384,0.68077,0.57499,2.64374,0.08739,1.00658,0.44345,0.65754,0.58193,2.64008,0.08676,1.00276,0.44194,0.66876,0.57623,2.63161,0.08782,0.94558,0.47142,0.64571,0.58988,2.64528,0.08839,0.89657,0.49988,0.6238,0.61068,2.63808,0.09208,0.88738,0.50329,0.61975,0.61526,2.66972,0.09374
714,1.09945,0.37272,0.71133,0.51845,2.6791,0.08875,1.04927,0.41839,0.71625,0.55531,2.64933,0.08602,1.0189,0.4339,0.70574,0.57495,2.65545,0.08739,0.99307,0.44352,0.69264,0.58191,2.63235,0.08677,1.00081,0.442,0.68857,0.57622,2.65139,0.08782,0.93828,0.4715,0.6776,0.58987,2.68265,0.08839,0.92205,0.49995,0.66539,0.61067,2.70841,0.09207,0.91474,0.50336,0.65956,0.61525,2.64997,0.09376
715,1.10913,0.37274,0.71505,0.51843,2.64392,0.08878,1.02578,0.41844,0.71064,0.55527,2.63031,0.08603,0.98597,0.43397,0.68939,0.57493,2.61737,0.0874,0.95869,0.44359,0.68919,0.58189,2.62429,0.08678,0.97365,0.44206,0.68042,0.57622,2.61759,0.08783,0.91455,0.47159,0.67141,0.58986,2.61678,0.08841,0.86985,0.50003,0.66241,0.61066,2.62289,0.0921,0.87525,0.50345,0.66968,0.61522,2.65184,0.09377
716,1.12234,0.37274,0.70327,0.51845,2.65733,0.08878,1.03874,0.41847,0.67244,0.55532,2.63117,0.08604,0.99595,0.43403,0.67512,0.57495,2.63468,0.08741,0.98341,0.44364,0.65382,0.58194,2.63628,0.08679,0.98957,0.44211,0.66554,0.57625,2.6229,0.08784,0.9224,0.47168,0.66002,0.58989,2.63661,0.08842,0.89601,0.50011,0.63194,0.61069,2.64781,0.09211,0.90069,0.50353,0.6391,0.61523,2.63461,0.09379
717,1.08942,0.37277,0.70792,0.51846,2.6498,0.08879,0.99803,0.41855,0.68433,0.55536,2.64038,0.08605,0.95393,0.43414,0.66263,0.575,2.62354,0.08742,0.9387,0.44374,0.65287,0.58199,2.65003,0.08679,0.93715,0.44221,0.66073,0.57629,2.61779,0.08785,0.88744,0.4718,0.65128,0.58993,2.6295,0.08843,0.83508,0.50024,0.63323,0.61073,2.65829,0.09212,0.84092,0.50364,0.63832,0.61526,2.63222,0.09381
718,1.13754,0.37277,0.70246,0.51849,2.66817,0.08879,1.02893,0.41861,0.64095,0.55548,2.64212,0.08605,1.01605,0.43419,0.61498,0.57513,2.64933,0.08742,0.96635,0.44382,0.60888,0.58211,2.6408,0.0868,0.97201,0.4423,0.61859,0.5764,2.64664,0.08785,0.92134,0.4719,0.60777,0.59002,2.64811,0.08843,0.88802,0.50031,0.57758,0.61084,2.64365,0.09213,0.90012,0.5037,0.56905,0.61537,2.70133,0.0938
719,1.11185,0.37281,0.70119,0.51852,2.66239,0.08879,1.05705,0.41863,0.64975,0.55558,2.63803,0.08606,1.01836,0.43424,0.63191,0.57523,2.64688,0.08742,0.99409,0.44389,0.62144,0.58221,2.63685,0.08681,1.01333,0.44233,0.63435,0.57649,2.63513,0.08785,0.96254,0.47196,0.61823,0.59012,2.63226,0.08845,0.93823,0.50036,0.58715,0.61094,2.65541,0.09213,0.92919,0.50376,0.58279,0.61548,2.65758,0.09381
720,1.12177,0.37282,0.70755,0.51853,2.66709,0.08882,1.01246,0.41869,0.67114,0.55563,2.62694,0.08608,0.98502,0.4343,0.66302,0.57527,2.61085,0.08744,0.96042,0.44396,0.66433,0.58224,2.61312,0.08682,0.97602,0.44238,0.65673,0.57654,2.60807,0.08787,0.92169,0.47202,0.65088,0.59014,2.61205,0.08846,0.89572,0.50041,0.64598,0.61094,2.63843,0.09214,0.88252,0.50382,0.65276,0.61547,2.65283,0.09383
721,1.09841,0.37285,0.69935,0.51856,2.66602,0.08883,1.02878,0.41873,0.6504,0.55573,2.6529,0.08607,1.00235,0.43435,0.6256,0.57538,2.65313,0.08744,0.97206,0.44403,0.61325,0.58236,2.64696,0.08683,0.99173,0.44243,0.6216,0.57665,2.68207,0.08786,0.92572,0.4721,0.61227,0.59023,2.64816,0.08847,0.8876,0.50049,0.59415,0.61104,2.69192,0.09214,0.88522,0.50391,0.59606,0.61555,2.66973,0.09383
