batch,loss_L0_age_bin,acc_L0_age_bin,loss_L0_gender,acc_L0_gender,loss_L0_star_sign,acc_L0_star_sign,loss_L4_age_bin,acc_L4_age_bin,loss_L4_gender,acc_L4_gender,loss_L4_star_sign,acc_L4_star_sign,loss_L8_age_bin,acc_L8_age_bin,loss_L8_gender,acc_L8_gender,loss_L8_star_sign,acc_L8_star_sign,loss_L12_age_bin,acc_L12_age_bin,loss_L12_gender,acc_L12_gender,loss_L12_star_sign,acc_L12_star_sign,loss_L16_age_bin,acc_L16_age_bin,loss_L16_gender,acc_L16_gender,loss_L16_star_sign,acc_L16_star_sign,loss_L20_age_bin,acc_L20_age_bin,loss_L20_gender,acc_L20_gender,loss_L20_star_sign,acc_L20_star_sign,loss_L24_age_bin,acc_L24_age_bin,loss_L24_gender,acc_L24_gender,loss_L24_star_sign,acc_L24_star_sign
442,1.11566,0.36314,0.72461,0.51344,2.72578,0.08678,1.06111,0.37691,0.70597,0.52614,2.76417,0.08423,0.9982,0.39768,0.67502,0.54333,2.74747,0.08413,1.01622,0.39364,0.66481,0.54508,2.77745,0.08466,0.96048,0.41799,0.6648,0.5563,2.78726,0.08603,0.92711,0.44248,0.6583,0.56731,2.74233,0.08704,0.89787,0.45223,0.66241,0.58486,2.75815,0.08926
443,1.13751,0.36318,0.73059,0.51342,2.72875,0.0868,1.08106,0.377,0.72188,0.52615,2.77553,0.08423,1.07135,0.39775,0.70428,0.54335,2.73207,0.08414,1.07841,0.3937,0.71003,0.54507,2.76559,0.08466,1.02803,0.41809,0.69474,0.55632,2.75786,0.08603,0.99178,0.44259,0.67741,0.56736,2.77531,0.08704,0.98249,0.45235,0.69763,0.58485,2.75774,0.08926
444,1.15285,0.36319,0.7249,0.51344,2.73756,0.08681,1.0912,0.37711,0.69888,0.52622,2.76964,0.08423,1.05137,0.39787,0.67472,0.54345,2.73482,0.08415,1.05352,0.39382,0.66574,0.54518,2.74727,0.08467,0.9954,0.41826,0.6605,0.55643,2.75593,0.08603,0.96905,0.44276,0.66885,0.56742,2.76122,0.08705,0.9617,0.45251,0.66523,0.58491,2.74268,0.08927
445,1.12999,0.36323,0.72567,0.51344,2.73666,0.08681,1.07047,0.37724,0.7104,0.52626,2.76179,0.08423,1.03707,0.39799,0.69215,0.54353,2.74836,0.08414,1.05559,0.39393,0.6948,0.54524,2.75725,0.08468,1.00346,0.41839,0.69246,0.55649,2.77521,0.08604,0.97447,0.44291,0.67716,0.56749,2.78636,0.08704,0.94897,0.45268,0.68327,0.58497,2.74556,0.08928
446,1.14204,0.36325,0.71654,0.51347,2.71254,0.08682,1.09365,0.3773,0.70193,0.52631,2.76773,0.08424,1.04752,0.3981,0.66745,0.54364,2.73743,0.08415,1.04428,0.39404,0.66453,0.54535,2.73311,0.08469,0.99785,0.41851,0.64654,0.55662,2.733,0.08605,0.96652,0.44304,0.63179,0.56764,2.74241,0.08704,0.9635,0.45281,0.60717,0.58514,2.66772,0.08932
447,1.14983,0.36326,0.72825,0.51346,2.73491,0.0868,1.10157,0.37736,0.71879,0.52632,2.76781,0.08424,1.07065,0.39816,0.69224,0.54371,2.75024,0.08415,1.06882,0.39412,0.69742,0.54538,2.7596,0.08469,1.00427,0.41863,0.66833,0.55669,2.7605,0.08605,0.9514,0.44319,0.66115,0.56772,2.79364,0.08704,0.95574,0.45294,0.65742,0.5852,2.69733,0.08934
448,1.14673,0.36328,0.73174,0.51345,2.72689,0.0868,1.09779,0.37742,0.71946,0.52633,2.76201,0.08424,1.06072,0.39825,0.70726,0.54372,2.74978,0.08415,1.07647,0.39418,0.70615,0.5454,2.72606,0.0847,1.02572,0.41873,0.70973,0.55669,2.70018,0.08608,1.00012,0.44328,0.6967,0.56774,2.7393,0.08706,0.9873,0.45303,0.6856,0.58522,2.70467,0.08936
449,1.12147,0.36334,0.72081,0.51348,2.73098,0.08679,1.09365,0.37747,0.6979,0.52639,2.77153,0.08424,1.05717,0.39831,0.65911,0.54384,2.74926,0.08415,1.0713,0.39423,0.65594,0.54551,2.7608,0.08469,1.03498,0.4188,0.63958,0.55684,2.74982,0.08609,0.99157,0.44338,0.64359,0.56784,2.76406,0.08706,1.00369,0.45311,0.65078,0.58529,2.69055,0.08939
450,1.14162,0.36337,0.72436,0.51348,2.73042,0.08679,1.09361,0.37755,0.71615,0.5264,2.76752,0.08424,1.06949,0.39837,0.70475,0.54387,2.75805,0.08415,1.08008,0.39429,0.70446,0.54555,2.75004,0.0847,1.03663,0.41889,0.69352,0.55688,2.76355,0.08608,0.98865,0.44351,0.69186,0.56787,2.74866,0.08707,0.98902,0.45322,0.70491,0.58529,2.67094,0.08944
451,1.14852,0.36339,0.71689,0.51351,2.72916,0.08679,1.08964,0.37763,0.68904,0.52649,2.76025,0.08423,1.0532,0.39846,0.67038,0.54398,2.72573,0.08415,1.0531,0.3944,0.65853,0.54568,2.75002,0.0847,0.99356,0.41904,0.6583,0.557,2.75257,0.08608,0.98461,0.44363,0.65858,0.56795,2.7748,0.08707,0.98465,0.45333,0.66716,0.58532,2.73278,0.08945
