batch,loss_L0_age_bin,acc_L0_age_bin,loss_L0_gender,acc_L0_gender,loss_L0_star_sign,acc_L0_star_sign,loss_L4_age_bin,acc_L4_age_bin,loss_L4_gender,acc_L4_gender,loss_L4_star_sign,acc_L4_star_sign,loss_L8_age_bin,acc_L8_age_bin,loss_L8_gender,acc_L8_gender,loss_L8_star_sign,acc_L8_star_sign,loss_L12_age_bin,acc_L12_age_bin,loss_L12_gender,acc_L12_gender,loss_L12_star_sign,acc_L12_star_sign,loss_L16_age_bin,acc_L16_age_bin,loss_L16_gender,acc_L16_gender,loss_L16_star_sign,acc_L16_star_sign,loss_L20_age_bin,acc_L20_age_bin,loss_L20_gender,acc_L20_gender,loss_L20_star_sign,acc_L20_star_sign,loss_L24_age_bin,acc_L24_age_bin,loss_L24_gender,acc_L24_gender,loss_L24_star_sign,acc_L24_star_sign,loss_L28_age_bin,acc_L28_age_bin,loss_L28_gender,acc_L28_gender,loss_L28_star_sign,acc_L28_star_sign,loss_L32_age_bin,acc_L32_age_bin,loss_L32_gender,acc_L32_gender,loss_L32_star_sign,acc_L32_star_sign,loss_L36_age_bin,acc_L36_age_bin,loss_L36_gender,acc_L36_gender,loss_L36_star_sign,acc_L36_star_sign
779,1.11795,0.37798,0.70677,0.52178,2.64922,0.08886,0.89502,0.45205,0.69486,0.58368,2.62389,0.08802,0.92105,0.4583,0.69403,0.58653,2.66816,0.08804,0.87453,0.51767,0.6827,0.62148,2.65197,0.09094,0.85091,0.52506,0.69666,0.63032,2.65472,0.09391,0.83336,0.51618,0.7048,0.62819,2.6673,0.09161,0.80112,0.54792,0.69876,0.63661,2.64735,0.09382,0.72622,0.58503,0.66107,0.66939,2.64102,0.09844,0.73647,0.57073,0.67819,0.65402,2.61368,0.09802,0.75142,0.56837,0.6889,0.65022,2.6713,0.10205
780,1.05312,0.37805,0.7023,0.52179,2.67263,0.08886,0.98634,0.45204,0.6382,0.58375,2.6604,0.08802,0.99626,0.45826,0.63932,0.58658,2.70483,0.08804,0.95932,0.51762,0.58621,0.62158,2.66497,0.09094,0.93843,0.52501,0.5688,0.63043,2.6622,0.09393,0.92065,0.51615,0.58355,0.62828,2.68845,0.09162,0.91067,0.54788,0.55737,0.63674,2.64133,0.09382,0.88695,0.585,0.53317,0.66948,2.60713,0.09846,0.90441,0.57069,0.53547,0.65413,2.62033,0.09805,0.9275,0.56831,0.5377,0.65033,2.64831,0.10207
781,1.07675,0.37809,0.69261,0.52184,2.65945,0.08887,0.95129,0.4521,0.57324,0.58391,2.67769,0.08801,0.94893,0.45831,0.57986,0.58674,2.70491,0.08805,0.79693,0.51775,0.54421,0.62172,2.69906,0.09094,0.74952,0.52517,0.53502,0.63057,2.66362,0.09394,0.77383,0.51629,0.53735,0.62841,2.67217,0.09162,0.70862,0.54803,0.52021,0.63687,2.68526,0.09382,0.66869,0.58514,0.48273,0.6696,2.66475,0.09847,0.6919,0.57083,0.49866,0.65426,2.64695,0.09806,0.69313,0.56844,0.51928,0.65044,2.69559,0.10207
782,1.08757,0.37815,0.7046,0.52183,2.64865,0.08887,0.96603,0.45213,0.68273,0.58391,2.66349,0.08801,0.96657,0.45833,0.67502,0.58674,2.7049,0.08805,0.87182,0.51778,0.66301,0.62171,2.68549,0.09095,0.84877,0.52523,0.67038,0.63054,2.61504,0.09396,0.86054,0.51635,0.68389,0.62837,2.66303,0.09163,0.79106,0.54811,0.70119,0.6368,2.65277,0.09384,0.7632,0.58518,0.6551,0.66956,2.58231,0.09849,0.79699,0.57085,0.66767,0.65422,2.58378,0.09808,0.8134,0.56846,0.64095,0.65042,2.61438,0.10211
783,1.11212,0.37815,0.70328,0.52183,2.68335,0.08887,0.98975,0.4522,0.66562,0.58393,2.6876,0.088,0.96569,0.45841,0.64846,0.58681,2.72887,0.08804,0.89895,0.51782,0.59046,0.62183,2.68475,0.09095,0.88267,0.52529,0.58412,0.63064,2.66257,0.09396,0.89562,0.51641,0.58164,0.62848,2.70442,0.09162,0.82756,0.54819,0.56246,0.63692,2.6725,0.09384,0.74098,0.58529,0.51929,0.66967,2.66837,0.0985,0.75412,0.57097,0.55382,0.65432,2.64668,0.09808,0.80483,0.56854,0.55581,0.65054,2.69322,0.10211
784,1.09735,0.37815,0.70902,0.52182,2.68181,0.08886,1.04197,0.45228,0.68953,0.58393,2.6677,0.088,1.02727,0.45848,0.66741,0.58683,2.72384,0.08803,0.95132,0.51789,0.62143,0.62186,2.69383,0.09095,0.92991,0.52536,0.60569,0.63069,2.67637,0.09397,0.93171,0.5165,0.61171,0.62852,2.71546,0.09162,0.91551,0.54823,0.61543,0.63695,2.66708,0.09384,0.87999,0.58531,0.51458,0.66977,2.69789,0.09849,0.89902,0.57101,0.55423,0.65439,2.66325,0.09809,0.87434,0.5686,0.56513,0.65062,2.68241,0.10211
785,1.11033,0.37815,0.71327,0.52182,2.69054,0.08885,1.07868,0.45227,0.68694,0.58392,2.67256,0.088,1.09273,0.45848,0.69249,0.58681,2.72855,0.08803,1.05666,0.51785,0.69281,0.62181,2.71652,0.09096,1.0595,0.52531,0.66621,0.63068,2.73545,0.09396,1.083,0.51642,0.66084,0.62851,2.71298,0.09162,1.04588,0.54818,0.65578,0.63692,2.71607,0.09383,1.00898,0.58527,0.64266,0.66971,2.72063,0.09849,1.0399,0.57095,0.65549,0.65433,2.6486,0.09812,1.01977,0.56855,0.67799,0.65056,2.65579,0.10214
786,1.09498,0.37818,0.6895,0.52187,2.67664,0.08884,1.01887,0.45226,0.62448,0.58397,2.68032,0.08799,0.9971,0.45848,0.61386,0.58689,2.6926,0.08803,0.89703,0.51788,0.61888,0.62185,2.69075,0.09096,0.89462,0.52534,0.61766,0.6307,2.67929,0.09397,0.91796,0.51645,0.60958,0.62855,2.66694,0.09163,0.8592,0.54821,0.64057,0.63692,2.63115,0.09385,0.84556,0.58527,0.62078,0.6697,2.65266,0.09851,0.88468,0.57094,0.60727,0.65434,2.59099,0.09816,0.85905,0.56856,0.60568,0.65058,2.67035,0.10216
787,1.07962,0.37821,0.70438,0.52187,2.66049,0.08885,0.94529,0.45234,0.64707,0.58402,2.65192,0.08799,0.90404,0.4586,0.6426,0.58695,2.69915,0.08803,0.83657,0.51797,0.62568,0.62188,2.68367,0.09096,0.81762,0.52545,0.633,0.6307,2.67447,0.09398,0.82753,0.51655,0.63526,0.62856,2.72523,0.09162,0.81255,0.54827,0.61717,0.63695,2.70195,0.09385,0.74286,0.58534,0.58774,0.66971,2.7021,0.09851,0.78278,0.57101,0.60205,0.65436,2.67674,0.09817,0.76558,0.56865,0.58038,0.65063,2.69602,0.10215
788,1.12554,0.37821,0.69819,0.52189,2.64271,0.08887,0.93346,0.45244,0.6275,0.58413,2.67131,0.088,0.91788,0.4587,0.62163,0.58706,2.69996,0.08803,0.76063,0.51816,0.58767,0.62198,2.66665,0.09097,0.74804,0.52563,0.56973,0.63082,2.68648,0.09399,0.78297,0.51671,0.5751,0.62867,2.69857,0.09162,0.70769,0.54844,0.566,0.63706,2.65317,0.09386,0.63621,0.58553,0.5413,0.66981,2.65364,0.09852,0.67164,0.57119,0.55803,0.65445,2.62475,0.09818,0.6683,0.56883,0.555,0.65073,2.59237,0.10217
